TOWN	LATITUDE	LONGITUDE
Lurgan, Armagh, UK	54.468441	-6.333961
Horncastle, Lincolnshire, UK	53.207680	-0.116043
Craigavon, Northern Ireland, UK	54.453274	-6.404343
Bushey, Hertfordshire, UK	51.647614	-0.358420
Hither Green, London, UK	51.450508	-0.004453
Penrith, Cumbria, UK	54.649208	-2.755508
Croydon, Greater London, UK	51.376495	-0.100594
Misterton, Nottinghamshire, UK	53.447170	-0.841141
Chigwell, Essex, UK	51.626282	0.080647
Wembley, Greater London, UK	51.550503	-0.304841
Porthleven, Cornwall, UK	50.085304	-5.315853
Chafford Hundred, Essex, UK	51.489548	0.310800
Great Ayton, North Yorkshire, UK	54.492973	-1.140518
Ballycastle, Northern Ireland, UK	55.204540	-6.252594
Leigh-on-Sea, UK	51.544735	0.653000
Chorley, Lancashire, UK	53.652210	-2.619740
Newport, Telford and Wrekin, UK	52.768555	-2.375587
Dover, Kent, UK	51.126369	1.316198
Limavady, UK	55.051434	-6.950054
Litcham, Norfolk, UK	52.724182	0.791488
Weybridge, Surrey, UK	51.371628	-0.457904
